  521   522   2.810000  14.592880   2.808620  14.592910 -0.2470 -0.2716 -0.2470 -0.2716 12.84  2.37 14.61  3.98 555 576 1  0.0000    5.4 277.0 2 0
  525   526   2.823494 -20.725200   2.823990 -20.727570  0.2957  0.0406  0.2957  0.0406 11.80  0.97 14.35  2.16 121 576 2  0.0000    8.5 168.0 2 1
  589   592   3.139617  21.713439   3.143530  21.706350  0.1831 -0.2892  0.1845 -0.2879 11.67  2.82 13.33  3.63 121 555 1  0.0019   28.7 152.9 2 0
  663   664   3.414422 -28.288506   3.413705 -28.300708  0.2207  0.0026  0.2134  0.0018 11.31  2.17 10.96  1.65 222 121 1  0.0073   44.0 183.0 2 0
  666   667   3.423410  15.344370   3.423410  15.344370  0.2688  0.0607  0.2688  0.0607 15.88 -9.00 14.14  2.74 576 555 1  0.0000    5.0  63.0 1 0
  697   705   3.556730 -14.399430   3.590290 -14.480440  0.0555 -0.2519  0.0903 -0.2595 17.50  3.18 16.87  2.21 555 555 6  0.0356  314.2 158.1 3 0
  703   704   3.605410  36.157400   3.605930  36.154580  0.1891 -0.0877  0.2021 -0.0939 16.60  3.18 17.60  3.51 555 555 4  0.0144   10.0 169.0 2 0
  734   735   3.795980  36.701420   3.795980  36.701420  0.2438 -0.1071  0.2438 -0.1071 14.70  3.35 14.70  3.35 555 555 1  0.0000    1.5  95.0 2 0
  738   739   3.810650  53.079420   3.811500  53.074154  0.2120  0.0639  0.2197  0.0439 14.56  3.76 10.36  1.54 555 121 1  0.0214   19.0 174.5 2 0
  747   750   3.824250  17.898740   3.831670  17.898430  0.1370 -0.1571  0.1370 -0.1571 18.51  4.75 17.47  4.28 576 555 1  0.0109   25.4  92.6 2 0
  803   804   4.060970  19.860459   4.067270  19.864060  0.7213 -0.7531  0.7052 -0.7480 11.79  3.89 13.57  4.66 111 555 1  0.0169   25.0  58.7 2 0
  834   835   4.142600 -28.056730   4.144340 -28.056210  0.1081 -0.0431  0.1081 -0.0431 16.21  3.78 19.06  4.35 555 576 1  0.0000    5.5  74.0 2 0
  875   876   4.384700  12.299560   4.384700  12.299560  0.4698 -0.0433  0.4698 -0.0433 17.11  4.03 17.11  4.03 555 555 1  0.0000    2.0 223.0 2 0
  910   912   4.494240  20.955190   4.496560  20.956800 -0.1659 -0.3034 -0.1659 -0.3034 12.77  4.10 10.40  2.16 576 555 1  0.0000   10.0  55.0 2 0
